TIME,TYPE,MESSAGE
LOG FILE INTIALIZED
16:09:20,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:09:22,ENCODE,Encoding complete!
16:09:58,INIT,HAP-PY v0.0.1 started
16:10:00,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:10:00,ENCODE,Total number of files to encode: 1
16:10:00,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:10:01,ENCODE,Encoding progress: 25%
16:10:01,ENCODE,Encoding complete!
16:11:21,INIT,HAP-PY v0.0.1 started
16:11:22,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:11:22,ENCODE,Total number of files to encode: 1
16:11:22,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:11:23,ENCODE,Encoding progress: 25%
16:11:24,ENCODE,Encoding complete!
16:11:27,ENCODE,Total number of files to encode: 1
16:11:27,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:11:28,ENCODE,Encoding complete!
16:11:29,ENCODE,Total number of files to encode: 1
16:11:29,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:11:30,ENCODE,Encoding complete!
16:11:50,INIT,HAP-PY v0.0.1 started
16:11:51,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:11:52,ENCODE,Total number of files to encode: 1
16:11:52,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:11:53,ENCODE,Encoding progress: 25%
16:11:53,ENCODE,Encoding complete!
16:12:15,INIT,HAP-PY v0.0.1 started
16:12:16,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:12:17,ENCODE,Total number of files to encode: 1
16:12:17,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:12:18,ENCODE,Encoding progress: 25%
16:12:18,ENCODE,Encoding complete!
16:12:37,INIT,HAP-PY v0.0.1 started
